ensemblID,beta,Type,geneID
hsa-miR-211-5p,-0.0273370348425443,hsa,
ENSG00000072041,-0.0244362602975565,ENS,SLC6A15
ENSG00000101986,0.00262378651504524,ENS,ABCD1
ENSG00000158859,-0.0192929773751123,ENS,ADAMTS4
ENSG00000150347,-0.00885252511336232,ENS,ARID5B
ENSG00000108469,0.0071376648637498,ENS,RECQL5
ENSG00000012660,-0.00266347957459242,ENS,ELOVL5
ENSG00000178538,-0.0096092618416246,ENS,CA8
ENSG00000114573,-0.00780314388484127,ENS,ATP6V1A
ENSG00000249238,0.017302468565202,ENS,BCL9P1
ENSG00000139116,-0.00497869407440935,ENS,KIF21A
ENSG00000111052,0.00706817598311325,ENS,LIN7A
hsa-miR-485-3p,-0.030585892934007,hsa,
ENSG00000144369,0.00788998742104856,ENS,FAM171B
ENSG00000239665,0.0224738351817755,ENS,AL157392.3
ENSG00000155666,-0.00450123450275311,ENS,KDM8
ENSG00000204310,-0.00552272301806349,ENS,AGPAT1
ENSG00000139211,-0.00187610142286629,ENS,AMIGO2
ENSG00000180938,0.000936251941678861,ENS,ZNF572
ENSG00000164924,0.00304283281841319,ENS,YWHAZ
ENSG00000230510,0.0133803716142387,ENS,PPP5D1
ENSG00000172465,-0.000423317376310976,ENS,TCEAL1
ENSG00000085276,-0.025378069557644,ENS,MECOM
hsa-miR-150-5p,-0.0156503356229529,hsa,
ENSG00000141367,0.00194894115648961,ENS,CLTC
ENSG00000165983,-0.0356118712054694,ENS,PTER
ENSG00000183604,-0.00179337335040214,ENS,SMG1P5
ENSG00000152910,-0.00764413104308272,ENS,CNTNAP4
ENSG00000130332,0.0364189896104783,ENS,LSM7
ENSG00000166411,0.00579185690370188,ENS,IDH3A
ENSG00000268006,-0.014087820654541,ENS,PTOV1-AS1
ENSG00000108960,-0.000755347420353153,ENS,MMD
ENSG00000105583,0.0112714758250197,ENS,WDR83OS
ENSG00000236753,0.0507075709781217,ENS,MKLN1-AS
ENSG00000141294,-0.00716270498178411,ENS,LRRC46
hsa-miR-365a-3p,-0.0332036570073863,hsa,
hsa-miR-365b-3p,-0.0332086562021415,hsa,
ENSG00000277157,0.0296298732689876,ENS,HIST1H4D
ENSG00000173482,-0.0190504796386941,ENS,PTPRM
ENSG00000255121,-0.0143492986912793,ENS,AP003392.4
ENSG00000272655,0.00498687685383313,ENS,POLR2J4
ENSG00000186162,0.000289208667507881,ENS,CIDECP
ENSG00000109445,-0.0163168565510861,ENS,ZNF330
ENSG00000134278,-0.0133963558191909,ENS,SPIRE1
ENSG00000167302,-0.000635244075722103,ENS,TEPSIN
ENSG00000072135,-0.0217595077794921,ENS,PTPN18
ENSG00000163536,-0.00758887065727113,ENS,SERPINI1
ENSG00000101367,0.00707422858547176,ENS,MAPRE1
ENSG00000156650,0.0205398603418617,ENS,KAT6B
ENSG00000197885,0.00960152985612689,ENS,NKIRAS1
ENSG00000196605,0.00744067261181526,ENS,ZNF846
ENSG00000253336,-0.000579672344615606,ENS,AC018992.1
ENSG00000068366,0.0114884716655152,ENS,ACSL4
ENSG00000185112,-0.00325123746230962,ENS,FAM43A
ENSG00000140563,-0.000169077886997755,ENS,MCTP2
ENSG00000261879,-0.0125914951583363,ENS,AC087500.1
ENSG00000143248,-0.00869781875407344,ENS,RGS5
ENSG00000010361,0.00276716820898337,ENS,FUZ
ENSG00000144290,0.0108309549272414,ENS,SLC4A10
ENSG00000157680,-0.00246377385595026,ENS,DGKI
ENSG00000163638,-0.0214242728842139,ENS,ADAMTS9
ENSG00000155729,0.00135190492191686,ENS,KCTD18
ENSG00000175611,0.0082426345684144,ENS,LINC00476
ENSG00000197971,-0.0163174732632202,ENS,MBP
ENSG00000157890,-0.00626066425962368,ENS,MEGF11
ENSG00000133131,0.0160967875120152,ENS,MORC4
ENSG00000225880,0.0114256579784127,ENS,LINC00115
ENSG00000160298,0.00535507427029608,ENS,C21orf58
hsa-miR-125a-5p,-0.0302728334832414,hsa,
ENSG00000112877,-0.000708063248050481,ENS,CEP72
ENSG00000119729,-0.00202629115077804,ENS,RHOQ
hsa-miR-183-5p,0.0190634740385119,hsa,
ENSG00000233006,0.0434162110067532,ENS,MIR3936HG
hsa-miR-487b-3p,-0.0178465817841291,hsa,
ENSG00000163472,0.000155254627240845,ENS,TMEM79
ENSG00000164176,0.0108923295052167,ENS,EDIL3
ENSG00000117758,-0.0154496918033803,ENS,STX12
hsa-miR-329-3p,-0.0332999135094624,hsa,
ENSG00000120948,0.00428545817739998,ENS,TARDBP
ENSG00000176834,0.0391003723858454,ENS,VSIG10
ENSG00000256299,-0.022053271805583,ENS,AC073912.2
ENSG00000204859,-0.00869466894783249,ENS,ZBTB48
ENSG00000133703,0.0109005200362424,ENS,KRAS
ENSG00000149269,-0.0154608969045026,ENS,PAK1
ENSG00000167130,0.00184755866384599,ENS,DOLPP1
ENSG00000070501,-0.0196728285317585,ENS,POLB
ENSG00000143303,-0.0150237521884641,ENS,RRNAD1
ENSG00000161920,0.0013290183139172,ENS,MED11
ENSG00000207008,-0.0174377066486128,ENS,SNORA54
ENSG00000140691,-0.00593554397013286,ENS,ARMC5
ENSG00000187778,-0.0199008747430044,ENS,MCRS1
ENSG00000153113,0.00358736996642506,ENS,CAST
ENSG00000073969,-0.0210147511468851,ENS,NSF
ENSG00000138069,0.00883715929539587,ENS,RAB1A
ENSG00000116977,0.00557369547092293,ENS,LGALS8
ENSG00000152154,0.00179393564222002,ENS,TMEM178A
ENSG00000197037,0.0144528444782351,ENS,ZSCAN25
ENSG00000197061,0.035942258356372,ENS,HIST1H4C
ENSG00000133519,0.0254894901258037,ENS,ZDHHC8P1
ENSG00000156853,0.00773023184479039,ENS,ZNF689
ENSG00000106638,0.00722110632790018,ENS,TBL2
ENSG00000011143,-0.00512889806823901,ENS,MKS1
ENSG00000100711,0.0140237394939581,ENS,ZFYVE21
ENSG00000108654,-0.0168586760448725,ENS,DDX5
ENSG00000132773,-0.00073299664959659,ENS,TOE1
ENSG00000171132,-0.00704144049496893,ENS,PRKCE
ENSG00000221676,-0.0291933900016064,ENS,RNU6ATAC
ENSG00000181873,0.00408766105073923,ENS,IBA57
ENSG00000123684,-0.00217337542779864,ENS,LPGAT1
ENSG00000082512,0.00605412151957767,ENS,TRAF5
ENSG00000147416,-0.0179344014305082,ENS,ATP6V1B2
ENSG00000110675,0.00901701237546078,ENS,ELMOD1
ENSG00000162923,-0.00811149129408816,ENS,WDR26
ENSG00000167333,-0.00182123813637328,ENS,TRIM68
ENSG00000185347,0.00660421144930461,ENS,TEDC1
ENSG00000228274,-0.00801217589660032,ENS,AL021707.2
ENSG00000174437,-0.00405390005954606,ENS,ATP2A2
ENSG00000134294,-0.00599609137401405,ENS,SLC38A2
ENSG00000135525,0.0170149326847438,ENS,MAP7
ENSG00000228327,0.0399322271631851,ENS,AL669831.1
ENSG00000186409,-0.000295955602307424,ENS,CCDC30
ENSG00000196352,-0.00827192092719733,ENS,CD55
ENSG00000166797,-0.0311104410816492,ENS,CIAO2A
ENSG00000104946,-0.0107933425847374,ENS,TBC1D17
ENSG00000118564,-0.0265207736635794,ENS,FBXL5
ENSG00000172057,-0.00568486722586071,ENS,ORMDL3
ENSG00000255085,-0.00447200832187059,ENS,AF186192.2
ENSG00000100678,-0.0116095353665263,ENS,SLC8A3
ENSG00000153814,-0.0138024007400263,ENS,JAZF1
ENSG00000214439,0.0374917997822319,ENS,FAM185BP
ENSG00000158169,0.0128529193586133,ENS,FANCC
ENSG00000249364,0.0147035613810837,ENS,AC112206.2
ENSG00000153187,-0.00746215085117883,ENS,HNRNPU
ENSG00000279576,-0.00648832658134101,ENS,
ENSG00000100865,-0.00334605176089868,ENS,CINP
ENSG00000125814,0.00257748956903997,ENS,NAPB
ENSG00000104763,-0.0100459004450453,ENS,ASAH1
ENSG00000116863,0.0104087643966735,ENS,ADPRHL2
ENSG00000117533,0.0136152691477034,ENS,VAMP4
ENSG00000279203,-0.0208915066408909,ENS,AC005785.2
ENSG00000106537,-0.00262526961900293,ENS,TSPAN13
ENSG00000163285,0.0133113888944381,ENS,GABRG1
ENSG00000133678,0.00576836276853812,ENS,TMEM254
ENSG00000121871,-0.0103122315090959,ENS,SLITRK3
hsa-miR-146a-5p,0.0347254670692069,hsa,
ENSG00000157191,0.00217268907206227,ENS,NECAP2
ENSG00000177370,0.0193848742765024,ENS,TIMM22
ENSG00000120798,-0.00957031324767019,ENS,NR2C1
ENSG00000144848,-0.00234904787519683,ENS,ATG3
ENSG00000227487,0.0159372890450206,ENS,NCAM1-AS1
ENSG00000178685,0.00339792235077679,ENS,PARP10
ENSG00000100580,-0.0177980785958728,ENS,TMED8
ENSG00000144895,0.00717188034569957,ENS,EIF2A
ENSG00000103199,-0.00392622603961985,ENS,ZNF500
ENSG00000169371,0.0355552025707436,ENS,SNUPN
ENSG00000172878,-0.0146743772111302,ENS,METAP1D
ENSG00000181638,-0.00243340219316075,ENS,ZFP41
hsa-miR-17-5p,-0.00852823426439615,hsa,
ENSG00000135541,-0.0160684485270096,ENS,AHI1
ENSG00000176715,-0.00807298003689499,ENS,ACSF3
ENSG00000089101,0.0224726368360365,ENS,CFAP61
ENSG00000176641,0.0132530610431352,ENS,RNF152
ENSG00000078487,0.0172244950478655,ENS,ZCWPW1
ENSG00000167552,-0.0249247562174716,ENS,TUBA1A
ENSG00000151353,-0.00106226562684336,ENS,TMEM18
ENSG00000204131,0.0228428982506379,ENS,NHSL2
hsa-let-7f-5p,0.0183487002648766,hsa,
ENSG00000105617,-0.000886730227994201,ENS,LENG1
ENSG00000141510,-0.00704282598427629,ENS,TP53
ENSG00000182986,-0.00511091810340988,ENS,ZNF320
ENSG00000214253,-0.00947477932511144,ENS,FIS1
ENSG00000267221,-0.0182736371314246,ENS,C17orf113
ENSG00000111371,0.00789276124917323,ENS,SLC38A1
ENSG00000157014,0.0469323218457503,ENS,TATDN2
ENSG00000103540,-0.017794168913502,ENS,CCP110
ENSG00000128609,0.0113177938619982,ENS,NDUFA5
ENSG00000254281,-0.0228966025489184,ENS,
ENSG00000260257,-0.010809713318589,ENS,AL035071.1
ENSG00000106635,0.016220239242936,ENS,BCL7B
ENSG00000122299,-0.0140909927175696,ENS,ZC3H7A
ENSG00000104365,-0.0119874745173568,ENS,IKBKB
ENSG00000167720,0.0186574549593704,ENS,SRR
ENSG00000171148,-0.0155652052556764,ENS,TADA3
ENSG00000258461,0.00307488322037955,ENS,AC012651.1
ENSG00000105479,0.0299222944912643,ENS,CCDC114
ENSG00000164023,0.0144778462476311,ENS,SGMS2
ENSG00000160214,0.00716228953053944,ENS,RRP1
ENSG00000161243,0.0201884061192395,ENS,FBXO27
ENSG00000108465,0.00472521141411302,ENS,CDK5RAP3
ENSG00000136531,0.0111214029132595,ENS,SCN2A
hsa-miR-628-3p,-0.0188717958974678,hsa,
ENSG00000115970,0.0179407663414742,ENS,THADA
ENSG00000126733,-0.0224860179219575,ENS,DACH2
ENSG00000156261,-0.00858271051300446,ENS,CCT8
ENSG00000247796,0.00180105542560562,ENS,AC008966.1
ENSG00000131507,0.00489044745052496,ENS,NDFIP1
ENSG00000160323,0.0206585528647361,ENS,ADAMTS13
ENSG00000072803,0.00703267061160944,ENS,FBXW11
ENSG00000104388,0.0156918517053603,ENS,RAB2A
ENSG00000126215,0.00278869140723357,ENS,XRCC3
ENSG00000145824,-0.0193702921314009,ENS,CXCL14
hsa-miR-98-5p,0.0180488497863212,hsa,
ENSG00000196914,0.00672962775252755,ENS,ARHGEF12
ENSG00000273014,-0.00456972196885282,ENS,AC018645.2
ENSG00000273301,0.00445133643984032,ENS,AC016717.2
ENSG00000092330,-0.00177302541327959,ENS,TINF2
ENSG00000113575,0.00515381648129932,ENS,PPP2CA
ENSG00000198736,0.0276765875242835,ENS,MSRB1
ENSG00000160404,0.00563912255717277,ENS,TOR2A
ENSG00000167272,0.00754004635146714,ENS,POP5
ENSG00000188529,0.0185011696268622,ENS,SRSF10
ENSG00000069849,0,ENS,ATP1B3
ENSG00000143740,-0.0170005562723887,ENS,SNAP47
ENSG00000248593,-0.00308214997467976,ENS,DSTNP2
ENSG00000269896,-0.00923662778603093,ENS,AL513477.1
ENSG00000161618,0.00486815356742842,ENS,ALDH16A1
ENSG00000117748,-0.00763456298425368,ENS,RPA2
ENSG00000138081,0.00815631992664526,ENS,FBXO11
ENSG00000142330,0.00925059135368497,ENS,CAPN10
ENSG00000149923,-0.0126425712943066,ENS,PPP4C
ENSG00000150394,0.00590627652703233,ENS,CDH8
ENSG00000164967,-0.0148516038823458,ENS,RPP25L
ENSG00000169976,0.00400570300652403,ENS,SF3B5
ENSG00000080822,-0.0381790309377772,ENS,CLDND1
ENSG00000113734,-0.0212759155179515,ENS,BNIP1
ENSG00000228956,-0.0343674907121002,ENS,SATB1-AS1
ENSG00000134317,-0.0200458412705011,ENS,GRHL1
ENSG00000234187,-0.0208393554077431,ENS,AIMP1P1
ENSG00000131437,0.00484133315377727,ENS,KIF3A
ENSG00000157557,-0.00865322937909741,ENS,ETS2
ENSG00000115091,0.00813183554193525,ENS,ACTR3
ENSG00000104231,-0.0107429043153066,ENS,ZFAND1
ENSG00000074696,-0.00326831793595449,ENS,HACD3
ENSG00000134438,0.010158041010049,ENS,RAX
ENSG00000163485,0.0117364687247618,ENS,ADORA1
ENSG00000171735,0.0143385556235559,ENS,CAMTA1
ENSG00000143748,0.0220404287420678,ENS,NVL
ENSG00000186298,-0.0111678168648232,ENS,PPP1CC
ENSG00000260966,0.0148119407127495,ENS,AP001486.2
ENSG00000184260,0.0186756736298439,ENS,HIST2H2AC
ENSG00000110871,-0.00551210786303125,ENS,COQ5
ENSG00000111011,0.00727716545824921,ENS,RSRC2
ENSG00000115526,0.0187661277433162,ENS,CHST10
ENSG00000170340,0.0152028040482582,ENS,B3GNT2
ENSG00000197054,-0.0170882674165208,ENS,ZNF763
ENSG00000221914,-0.0019551718628288,ENS,PPP2R2A
ENSG00000103932,-0.00109230694602953,ENS,RPAP1
ENSG00000127837,0.00634533346736401,ENS,AAMP
ENSG00000130764,0.0215095470862138,ENS,LRRC47
ENSG00000117859,-0.00156792511355708,ENS,OSBPL9
ENSG00000204099,0.042800546654789,ENS,NEU4
ENSG00000230124,0.0145417277835695,ENS,ACBD6
hsa-miR-148a-3p,0.0105011363738216,hsa,
ENSG00000225032,-0.00628534937680098,ENS,AL162586.1
ENSG00000116151,-0.0045395811742142,ENS,MORN1
ENSG00000132004,-0.00945329067100272,ENS,FBXW9
ENSG00000138071,0.021235081759304,ENS,ACTR2
ENSG00000140015,0.00176174609292615,ENS,KCNH5
ENSG00000140543,0.0131484423889932,ENS,DET1
ENSG00000203877,0.0256802263386908,ENS,RIPPLY2
ENSG00000240230,0.00469219177208448,ENS,COX19
ENSG00000268225,0.0451130670908806,ENS,AC010487.1
ENSG00000112584,0.00697141775064888,ENS,FAM120B
ENSG00000163719,-0.0182523187681877,ENS,MTMR14
ENSG00000176204,-0.0100779054068776,ENS,LRRTM4
ENSG00000178761,-0.0226871187854383,ENS,FAM219B
ENSG00000140876,0.0175149827138041,ENS,NUDT7
ENSG00000120899,0.0186425549111966,ENS,PTK2B
hsa-miR-218-5p,-0.01644174160238,hsa,
ENSG00000005075,0.0116519849966082,ENS,POLR2J
ENSG00000112339,-0.0170622623668968,ENS,HBS1L
ENSG00000157637,-0.00573209135576014,ENS,SLC38A10
ENSG00000276728,0.0136437747340837,ENS,AC142472.1
ENSG00000160949,0.010544226393037,ENS,TONSL
ENSG00000172667,-0.00839184968471845,ENS,ZMAT3
ENSG00000085644,-0.0184291513338726,ENS,ZNF213
ENSG00000105248,-0.0130751216337675,ENS,YJU2
ENSG00000129596,-0.0526491069139283,ENS,CDO1
ENSG00000152402,0.00182748061241584,ENS,GUCY1A2
hsa-miR-30a-5p,-0.00353216725328442,hsa,
ENSG00000028528,0.00241784210261617,ENS,SNX1
ENSG00000106052,0.00256835755111283,ENS,TAX1BP1
ENSG00000145495,0.00254106489247825,ENS,MARCH6
hsa-let-7a-5p,0.0195118480784606,hsa,
ENSG00000017427,0.00369712075417175,ENS,IGF1
